Concurrency Level,Throughput (rps)
1,439.7913808672513
2,662.9792403550953
3,796.861119725205
4,885.3352300728213
5,947.5872146868134
6,993.3345402474143
7,1028.025672547037
8,1054.9523029241989
9,1076.2203923823906
10,1093.2399235253179
11,1106.9904321147467
12,1118.173590213017
13,1127.3051821636425
14,1134.772815410734
15,1140.8733883514863
16,1145.838141631416
17,1149.8498421521545
18,1153.0548388990271
19,1155.5716914404193
20,1157.4974564100814
21,1158.9123415070599
22,1159.883201071135
23,1160.466196230378
24,1160.708843635353
25,1160.6516106780743
26,1160.3291701493504
27,1159.7713962414346
28,1159.0041620375598
29,1158.0499831621423
30,1156.9285411336848
31,1155.6571118568927
32,1154.2509187239716
33,1152.7234253581496
34,1151.0865797015497
35,1149.351018626541
36,1147.5262403225795
37,1145.6207502269813
38,1143.6421851174011
39,1141.5974190850773
40,1139.49265440127
41,1137.333499730257
42,1135.1250376972223
43,1132.8718834631936
44,1130.5782356724885
45,1128.2479209062358
46,1125.8844325870286
47,1123.490965125783
48,1121.07044397559
49,1118.6255521532619
50,1116.1587537031971
51,1113.6723145066849
52,1111.1683207801545
53,1108.6486955560229
54,1106.1152133978946
55,1103.569513566627
56,1101.013111823935
57,1098.4474110349647
58,1095.8737107097613
59,1093.2932156052423
60,1090.707043493626
61,1088.116232189822
62,1085.5217459187497
63,1082.9244810936075
64,1080.325271567505
65,1077.7248934134452
66,1075.1240692811652
67,1072.5234723737508
68,1069.9237300820141
69,1067.3254273103776
70,1064.7291095242383
71,1062.1352855455207
72,1059.5444301202374
73,1056.9569862793387
74,1054.3733675118938
75,1051.7939597676739
76,1049.2191233044514
77,1046.6491943937908
78,1044.084486897715
79,1041.5252937274233
80,1038.9718881941453
81,1036.42452526123
82,1033.8834427057232
83,1031.348862196897
84,1028.820990298504
85,1026.3000194009082
86,1023.786128588685
87,1021.2794844487788
88,1018.7802418238531
89,1016.288544515069
90,1013.8045259381456
91,1011.3283097362392
92,1008.860010352864
93,1006.3997335678179
94,1003.9475769988173
95,1001.5036305713352
96,999.0679769589179
97,996.6406919960884
98,994.2218450657601
99,991.8114994629441
100,989.4097127363868
101,987.0165370096454
102,984.6320192830036
103,982.2562017175078
104,979.8891219023208
105,977.530813106489
106,975.1813045161496
107,972.8406214581167
108,970.5087856107257
109,968.1858152027493
110,965.8717252011356
111,963.5665274882739
112,961.2702310294385
113,958.9828420310146
114,956.7043640900738
115,954.4347983358208
116,952.1741435634058
117,949.9223963605556
118,947.6795512274502
119,945.4456006902453
120,943.2205354086077
121,941.0043442776155
122,938.797014524344
123,936.5985317994462
124,934.4088802640059
125,932.228042671935
126,930.056000448162
127,927.8927337628486
128,925.7382216018497
129,923.5924418336259
130,921.4553712728028
131,919.3269857405561
132,917.2072601219938
133,915.0961684206993
134,912.9936838105818
135,910.89977868518
136,908.8144247045492
137,906.7375928398632
138,904.6692534158433
139,902.6093761511318
140,900.5579301967114
141,898.5148841724747
142,896.4802062020318
143,894.45386394585
144,892.4358246328076
145,890.4260550902392
146,888.4245217725498
147,886.4311907884688
148,884.4460279270049
149,882.4689986821761
150,880.5000682765635
151,878.5392016837516
152,876.5863636497097
153,874.641518713161
154,872.7046312249897
155,870.7756653667346
156,868.8545851682069
157,866.9413545242787
158,865.0359372108779
159,863.1382969002262
160,861.2483971753597
161,859.36620154396
162,857.4916734515302
163,855.6247762939475
164,853.7654734294165
165,851.9137281898553
166,850.0695038917381
167,848.2327638464168
168,846.40347136995
169,844.5815897924566
170,842.7670824670198
171,840.9599127781574
172,839.1600441498803
173,837.3674400533585
174,835.5820640142069
175,833.8038796194161
176,832.0328505239343
177,830.268940456923
178,828.5121132276987
179,826.762332731371
180,825.0195629541956
181,823.2837679786523
182,821.5549119882573
183,819.8329592721273
184,818.1178742292993
185,816.4096213728229
186,814.708165333631
187,813.0134708641983
188,811.3255028420009
189,809.6442262727796
190,807.9696062936204
191,806.3016081758566
192,804.6401973278026
193,802.9853392973262
194,801.3369997742622
195,799.6951445926821
196,798.0597397330187
197,796.4307513240542
198,794.8081456447807
199,793.1918891261328
200,791.5819483526021
